Field,ID,Type (Type),default,en,de,es,fr,pl,pt
DesktopScreenshot1,100,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435784/listingassets/3058782779353967705,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435786/listingassets/3048530073896104332,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435788/listingassets/3070907486438598910,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435890/listingassets/3062878703887505044,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435892/listingassets/3070142861829319553,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435894/listingassets/3059375191522359515
DesktopScreenshot2,101,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435784/listingassets/3003576779812614416,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435786/listingassets/3049470712251222682,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435788/listingassets/3023217759589929110,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435890/listingassets/3055172182064172690,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435892/listingassets/3039850479737635958,https://developer.microsoft.com/en-us/dashboard/apps/9NK0HLN1PRWB/submissions/1152921505701838676/listings/1152922700007435894/listingassets/3062107150346700623
DesktopScreenshot3,102,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot4,103,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot5,104,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot6,105,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot7,106,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot8,107,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot9,108,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot10,109,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot11,110,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot12,111,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot13,112,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot14,113,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot15,114,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot16,115,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot17,116,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot18,117,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot19,118,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot20,119,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot21,120,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot22,121,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot23,122,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot24,123,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot25,124,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot26,125,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot27,126,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot28,127,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot29,128,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshot30,129,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
DesktopScreenshotCaption1,150,Texte,,,,,,,
DesktopScreenshotCaption2,151,Texte,,,,,,,
DesktopScreenshotCaption3,152,Texte,,,,,,,
DesktopScreenshotCaption4,153,Texte,,,,,,,
DesktopScreenshotCaption5,154,Texte,,,,,,,
DesktopScreenshotCaption6,155,Texte,,,,,,,
DesktopScreenshotCaption7,156,Texte,,,,,,,
DesktopScreenshotCaption8,157,Texte,,,,,,,
DesktopScreenshotCaption9,158,Texte,,,,,,,
DesktopScreenshotCaption10,159,Texte,,,,,,,
DesktopScreenshotCaption11,160,Texte,,,,,,,
DesktopScreenshotCaption12,161,Texte,,,,,,,
DesktopScreenshotCaption13,162,Texte,,,,,,,
DesktopScreenshotCaption14,163,Texte,,,,,,,
DesktopScreenshotCaption15,164,Texte,,,,,,,
DesktopScreenshotCaption16,165,Texte,,,,,,,
DesktopScreenshotCaption17,166,Texte,,,,,,,
DesktopScreenshotCaption18,167,Texte,,,,,,,
DesktopScreenshotCaption19,168,Texte,,,,,,,
DesktopScreenshotCaption20,169,Texte,,,,,,,
DesktopScreenshotCaption21,170,Texte,,,,,,,
DesktopScreenshotCaption22,171,Texte,,,,,,,
DesktopScreenshotCaption23,172,Texte,,,,,,,
DesktopScreenshotCaption24,173,Texte,,,,,,,
DesktopScreenshotCaption25,174,Texte,,,,,,,
DesktopScreenshotCaption26,175,Texte,,,,,,,
DesktopScreenshotCaption27,176,Texte,,,,,,,
DesktopScreenshotCaption28,177,Texte,,,,,,,
DesktopScreenshotCaption29,178,Texte,,,,,,,
DesktopScreenshotCaption30,179,Texte,,,,,,,
MobileScreenshot1,200,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot2,201,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot3,202,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot4,203,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot5,204,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot6,205,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot7,206,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot8,207,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot9,208,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot10,209,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot11,210,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot12,211,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot13,212,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot14,213,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot15,214,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot16,215,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot17,216,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot18,217,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot19,218,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot20,219,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot21,220,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot22,221,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot23,222,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot24,223,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot25,224,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot26,225,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot27,226,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot28,227,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot29,228,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshot30,229,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
MobileScreenshotCaption1,250,Texte,,,,,,,
MobileScreenshotCaption2,251,Texte,,,,,,,
MobileScreenshotCaption3,252,Texte,,,,,,,
MobileScreenshotCaption4,253,Texte,,,,,,,
MobileScreenshotCaption5,254,Texte,,,,,,,
MobileScreenshotCaption6,255,Texte,,,,,,,
MobileScreenshotCaption7,256,Texte,,,,,,,
MobileScreenshotCaption8,257,Texte,,,,,,,
MobileScreenshotCaption9,258,Texte,,,,,,,
MobileScreenshotCaption10,259,Texte,,,,,,,
MobileScreenshotCaption11,260,Texte,,,,,,,
MobileScreenshotCaption12,261,Texte,,,,,,,
MobileScreenshotCaption13,262,Texte,,,,,,,
MobileScreenshotCaption14,263,Texte,,,,,,,
MobileScreenshotCaption15,264,Texte,,,,,,,
MobileScreenshotCaption16,265,Texte,,,,,,,
MobileScreenshotCaption17,266,Texte,,,,,,,
MobileScreenshotCaption18,267,Texte,,,,,,,
MobileScreenshotCaption19,268,Texte,,,,,,,
MobileScreenshotCaption20,269,Texte,,,,,,,
MobileScreenshotCaption21,270,Texte,,,,,,,
MobileScreenshotCaption22,271,Texte,,,,,,,
MobileScreenshotCaption23,272,Texte,,,,,,,
MobileScreenshotCaption24,273,Texte,,,,,,,
MobileScreenshotCaption25,274,Texte,,,,,,,
MobileScreenshotCaption26,275,Texte,,,,,,,
MobileScreenshotCaption27,276,Texte,,,,,,,
MobileScreenshotCaption28,277,Texte,,,,,,,
MobileScreenshotCaption29,278,Texte,,,,,,,
MobileScreenshotCaption30,279,Texte,,,,,,,
XboxScreenshot1,300,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot2,301,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot3,302,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot4,303,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot5,304,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot6,305,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot7,306,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot8,307,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot9,308,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot10,309,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot11,310,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot12,311,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot13,312,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot14,313,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot15,314,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot16,315,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot17,316,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot18,317,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot19,318,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot20,319,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot21,320,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot22,321,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot23,322,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot24,323,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot25,324,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot26,325,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot27,326,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot28,327,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot29,328,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshot30,329,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxScreenshotCaption1,350,Texte,,,,,,,
XboxScreenshotCaption2,351,Texte,,,,,,,
XboxScreenshotCaption3,352,Texte,,,,,,,
XboxScreenshotCaption4,353,Texte,,,,,,,
XboxScreenshotCaption5,354,Texte,,,,,,,
XboxScreenshotCaption6,355,Texte,,,,,,,
XboxScreenshotCaption7,356,Texte,,,,,,,
XboxScreenshotCaption8,357,Texte,,,,,,,
XboxScreenshotCaption9,358,Texte,,,,,,,
XboxScreenshotCaption10,359,Texte,,,,,,,
XboxScreenshotCaption11,360,Texte,,,,,,,
XboxScreenshotCaption12,361,Texte,,,,,,,
XboxScreenshotCaption13,362,Texte,,,,,,,
XboxScreenshotCaption14,363,Texte,,,,,,,
XboxScreenshotCaption15,364,Texte,,,,,,,
XboxScreenshotCaption16,365,Texte,,,,,,,
XboxScreenshotCaption17,366,Texte,,,,,,,
XboxScreenshotCaption18,367,Texte,,,,,,,
XboxScreenshotCaption19,368,Texte,,,,,,,
XboxScreenshotCaption20,369,Texte,,,,,,,
XboxScreenshotCaption21,370,Texte,,,,,,,
XboxScreenshotCaption22,371,Texte,,,,,,,
XboxScreenshotCaption23,372,Texte,,,,,,,
XboxScreenshotCaption24,373,Texte,,,,,,,
XboxScreenshotCaption25,374,Texte,,,,,,,
XboxScreenshotCaption26,375,Texte,,,,,,,
XboxScreenshotCaption27,376,Texte,,,,,,,
XboxScreenshotCaption28,377,Texte,,,,,,,
XboxScreenshotCaption29,378,Texte,,,,,,,
XboxScreenshotCaption30,379,Texte,,,,,,,
HolographicScreenshot1,400,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot2,401,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot3,402,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot4,403,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot5,404,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot6,405,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot7,406,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot8,407,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot9,408,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot10,409,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot11,410,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot12,411,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot13,412,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot14,413,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot15,414,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot16,415,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot17,416,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot18,417,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot19,418,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot20,419,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot21,420,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot22,421,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot23,422,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot24,423,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot25,424,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot26,425,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot27,426,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot28,427,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot29,428,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshot30,429,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
HolographicScreenshotCaption1,450,Texte,,,,,,,
HolographicScreenshotCaption2,451,Texte,,,,,,,
HolographicScreenshotCaption3,452,Texte,,,,,,,
HolographicScreenshotCaption4,453,Texte,,,,,,,
HolographicScreenshotCaption5,454,Texte,,,,,,,
HolographicScreenshotCaption6,455,Texte,,,,,,,
HolographicScreenshotCaption7,456,Texte,,,,,,,
HolographicScreenshotCaption8,457,Texte,,,,,,,
HolographicScreenshotCaption9,458,Texte,,,,,,,
HolographicScreenshotCaption10,459,Texte,,,,,,,
HolographicScreenshotCaption11,460,Texte,,,,,,,
HolographicScreenshotCaption12,461,Texte,,,,,,,
HolographicScreenshotCaption13,462,Texte,,,,,,,
HolographicScreenshotCaption14,463,Texte,,,,,,,
HolographicScreenshotCaption15,464,Texte,,,,,,,
HolographicScreenshotCaption16,465,Texte,,,,,,,
HolographicScreenshotCaption17,466,Texte,,,,,,,
HolographicScreenshotCaption18,467,Texte,,,,,,,
HolographicScreenshotCaption19,468,Texte,,,,,,,
HolographicScreenshotCaption20,469,Texte,,,,,,,
HolographicScreenshotCaption21,470,Texte,,,,,,,
HolographicScreenshotCaption22,471,Texte,,,,,,,
HolographicScreenshotCaption23,472,Texte,,,,,,,
HolographicScreenshotCaption24,473,Texte,,,,,,,
HolographicScreenshotCaption25,474,Texte,,,,,,,
HolographicScreenshotCaption26,475,Texte,,,,,,,
HolographicScreenshotCaption27,476,Texte,,,,,,,
HolographicScreenshotCaption28,477,Texte,,,,,,,
HolographicScreenshotCaption29,478,Texte,,,,,,,
HolographicScreenshotCaption30,479,Texte,,,,,,,
SurfaceHubScreenshot11,510,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot12,511,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot13,512,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot14,513,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot15,514,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot16,515,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot17,516,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot18,517,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot19,518,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot20,519,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot21,520,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot22,521,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot23,522,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot24,523,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot25,524,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot26,525,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot27,526,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot28,527,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot29,528,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshot30,529,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
SurfaceHubScreenshotCaption11,560,Texte,,,,,,,
